book_name,distance
Great_Expectations_by_Charles_Dickens-chapters,0.396476261
The_Time_Machine-chapters,0.461825962
Peter_Pan_by_J._M.__Barrie-chapters,0.46955077
Gullivers_Travels-chapters,0.472743806
The_King_in_Yellow_by_Robert_W.__Chambers-chapters,0.421372462
The_Adventures_of_Tom_Sawyer_by_Mark_Twain-chapters,0.469689805
Oliver_Twist-chapters,0.453487307
Jane_Eyre_An_Autobiography_by_Charlotte_Bronte-chapters,0.373672891
Anne_of_Green_Gables-chapters,0.470584873
Sense_and_Sensibility_by_Jane_Austen-chapters,0.557442077
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,0.411316944
The_Life_and_Adventures_of_Robinson_Crusoe-chapters,0.474677629
Little_Women_by_Loui-chapters,0.406844488
Treasure_Island_by_Robert_Louis_Stevenson-chapters,0.451674239
Wuthering_Heigh-chapters,0.35332299
The_Picture_of_Dorian_Gray_by_Oscar_Wilde-chapters,0.416036096
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,0.511350434
A_Study_In_Scarlet-chapters,0.410399917
Pride_and_Prejudice_by_Jane_Austen-chapters,0.530993241
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,0.563463203
Emma_by_Jane_Austen-chapters,0.484701577
