book_name,chapter_id,words_per_chapter,words_per_book,common_words_per_chapter,distance
A_Study_In_Scarlet-chapters,01.txt,1069,11295,629,0.579442297
A_Study_In_Scarlet-chapters,02.txt,1351,11295,761,0.529634337
A_Study_In_Scarlet-chapters,03.txt,1461,11295,820,0.484079834
A_Study_In_Scarlet-chapters,04.txt,914,11295,532,0.568040796
A_Study_In_Scarlet-chapters,05.txt,947,11295,562,0.574105128
A_Study_In_Scarlet-chapters,06.txt,1222,11295,647,0.539187784
A_Study_In_Scarlet-chapters,07.txt,1234,11295,678,0.520121638
A_Study_In_Scarlet-chapters,08.txt,1421,11295,825,0.595488404
A_Study_In_Scarlet-chapters,09.txt,982,11295,639,0.65075791
A_Study_In_Scarlet-chapters,10.txt,694,11295,470,0.669494166
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,01.txt,398,13660,312,0.815386228
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,02.txt,782,13660,445,0.677747114
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,03.txt,599,13660,376,0.699830733
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,04.txt,1762,13660,855,0.494940114
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,05.txt,1668,13660,866,0.554135374
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,06.txt,1460,13660,651,0.543342225
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,07.txt,3567,13660,1469,0.385008298
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,08.txt,865,13660,457,0.614795741
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,09.txt,829,13660,496,0.667416245
A_Tale_of_Two_Cities_by_Charles_Dickens-chapters,10.txt,1730,13660,812,0.524649836
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,01.txt,464,7907,253,0.569918405
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,02.txt,798,7907,388,0.551821409
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,03.txt,594,7907,284,0.578518416
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,04.txt,493,7907,251,0.547503932
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,05.txt,545,7907,290,0.58053078
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,06.txt,971,7907,430,0.472810271
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,07.txt,950,7907,378,0.486111573
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,08.txt,2045,7907,648,0.377521635
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,09.txt,562,7907,341,0.62399212
Adventures_of_Huckleberry_Finn_by_Mark_Twain-chapters,10.txt,485,7907,249,0.569004627
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,01.txt,695,7690,337,0.506192289
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,02.txt,730,7690,352,0.494830504
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,03.txt,604,7690,325,0.546029504
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,04.txt,907,7690,392,0.485436921
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,05.txt,733,7690,330,0.513018449
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,06.txt,868,7690,367,0.485505444
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,07.txt,801,7690,323,0.510162037
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,08.txt,794,7690,337,0.545774387
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,09.txt,815,7690,361,0.482830862
Alices_Adventures_in_Wonderland_by_Lewis_Carroll-chapters,10.txt,743,7690,300,0.584741156
Anne_of_Green_Gables-chapters,01.txt,1069,9826,564,0.539021633
Anne_of_Green_Gables-chapters,02.txt,1851,9826,753,0.406515564
Anne_of_Green_Gables-chapters,03.txt,851,9826,410,0.524899886
Anne_of_Green_Gables-chapters,04.txt,867,9826,431,0.495589931
Anne_of_Green_Gables-chapters,05.txt,803,9826,373,0.536350304
Anne_of_Green_Gables-chapters,06.txt,738,9826,383,0.526090285
Anne_of_Green_Gables-chapters,07.txt,477,9826,249,0.594037297
Anne_of_Green_Gables-chapters,08.txt,1202,9826,512,0.449846463
Anne_of_Green_Gables-chapters,09.txt,982,9826,529,0.513841867
